Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 12";"Process 9";99404;4.70647;4706467000;0;0;1.0606;1060597000;968.376;9.68376e-07;inf;inf;323926976;128;4800
"Process 12";"Process 7";99404;11.3478;11347841000;1e-06;1000;1.06063;1060631000;350.267;3.50267e-07;2.4e+09;2.4;323926976;128;4800
"Process 12";"Process 8";99404;6.73042;6730423000;0;0;1.06067;1060673000;3861.7;3.8617e-06;inf;inf;323926976;128;4800
"Process 12";"Process 2";99404;9.84988;9849877000;1e-06;1000;1.06469;1064690000;2946.86;2.94686e-06;2.4e+09;2.4;323926976;128;4800
"Process 12";"Process 3";99404;8.46017;8460167000;1e-06;1000;1.06469;1064688000;3847.14;3.84714e-06;2.048e+09;2.048;323926976;128;4800
"Process 12";"Process 4";99404;8.97149;8971492000;1e-06;1000;1.07957;1079570000;3794.1;3.7941e-06;2.4e+09;2.4;323926976;128;4800
"Process 12";"Process 5";99404;8.4042;8404205000;1e-06;1000;1.06469;1064690000;694.267;6.94267e-07;2.048e+09;2.048;323926976;128;4800
"Process 12";"Process 6";99404;8.44007;8440068000;1e-06;1000;1.06473;1064728000;696.337;6.96337e-07;2.4e+09;2.4;323926976;128;4800
"Process 2";"Process 0";99448;13.8061;13806091000;0;0;0.675766;675766000;347.884;3.47884e-07;inf;inf;375750080;192;102400
"Process 2";"Process 10";99404;12.2861;12286090000;1e-06;1000;0.445293;445293000;9198.44;9.19844e-06;2.048e+09;2.048;373151680;192;4800
"Process 2";"Process 11";99404;13.7847;13784665000;1e-06;1000;0.567663;567663000;7215.55;7.21555e-06;2.4e+09;2.4;345220736;128;4800
"Process 2";"Process 1";112364;5.27056;5270562000;0;0;0.625269;625269000;6550.78;6.55078e-06;inf;inf;1036703680;192;51200
"Process 2";"Process 12";99404;15.4453;15445327000;1e-06;1000;0.534033;534033000;661.084;6.61084e-07;2.4e+09;2.4;345220736;128;4800
"Process 2";"Process 13";99404;12.7658;12765818000;1e-06;1000;0.498727;498727000;6585.27;6.58527e-06;2.4e+09;2.4;345220736;128;4800
"Process 2";"Process 14";99404;12.8806;12880561000;1e-06;1000;0.445306;445306000;9198.17;9.19817e-06;2.4e+09;2.4;345220736;128;4800
"Process 2";"Process 15";99404;11.7055;11705527000;1e-06;1000;0.567637;567637000;631.997;6.31997e-07;2.4e+09;2.4;345220736;128;4800
"Process 2";"Process 9";99404;14.9492;14949152000;1e-06;1000;1.06106;1061061000;3860.29;3.86029e-06;2.4e+09;2.4;373151680;192;4800
"Process 2";"Process 7";99404;16.9559;16955909000;0;0;1.06109;1061090000;976.925;9.76925e-07;inf;inf;373151680;192;4800
"Process 2";"Process 8";99404;18.2405;18240505000;1e-06;1000;1.06113;1061132000;976.876;9.76876e-07;2.4e+09;2.4;373151680;192;4800
"Process 2";"Process 3";112364;18.7773;18777348000;1e-06;1000;1.06516;1065162000;3845.42;3.84542e-06;5.12e+09;5.12;1036703680;192;51200
"Process 2";"Process 4";99404;19.7554;19755356000;0;0;1.40227;1402267000;3423.03;3.42303e-06;inf;inf;373151680;192;4800
"Process 2";"Process 5";99404;17.1668;17166760000;0;0;1.06516;1065160000;3845.43;3.84543e-06;inf;inf;373151680;192;4800
"Process 2";"Process 6";99404;16.4417;16441695000;0;0;1.0652;1065201000;3845.28;3.84528e-06;inf;inf;373151680;192;4800
"Process 9";"Process 0";99448;21.1559;21155870000;1e-06;1000;0.747325;747325000;545.917;5.45917e-07;2.4e+09;2.4;375750080;192;102400
"Process 9";"Process 10";112364;14.8812;14881160000;1e-06;1000;0.747285;747285000;5481.18;5.48118e-06;5.12e+09;5.12;1036703680;192;51200
"Process 9";"Process 11";99404;15.4651;15465137000;0;0;0.747286;747286000;3656.41;3.65641e-06;inf;inf;345220736;128;4800
"Process 9";"Process 1";99404;8.91335;8913352000;1e-06;1000;0.747283;747283000;5481.19;5.48119e-06;2.4e+09;2.4;373151680;192;4800
"Process 9";"Process 12";99404;18.2298;18229756000;0;0;0.756284;756284000;2244.56;2.24456e-06;inf;inf;345220736;128;4800
"Process 9";"Process 13";99404;14.8238;14823777000;0;0;0.747293;747293000;2244.85;2.24485e-06;inf;inf;345220736;128;4800
"Process 9";"Process 14";99404;17.6164;17616374000;0;0;0.747292;747292000;1964.43;1.96443e-06;inf;inf;345220736;128;4800
"Process 9";"Process 15";99404;13.3379;13337882000;0;0;0.747333;747333000;5480.82;5.48082e-06;inf;inf;345220736;128;4800
"Process 9";"Process 7";99404;8.18856;8188560000;1e-06;1000;0.747162;747162000;632.211;6.32211e-07;2.4e+09;2.4;373151680;192;4800
"Process 9";"Process 8";112364;7.38052;7380518000;0;0;0.677497;677497000;6045.78;6.04578e-06;inf;inf;1036703680;192;51200
"Process 9";"Process 2";99404;10.809;10808966000;1e-06;1000;0.749345;749345000;545.966;5.45966e-07;2.4e+09;2.4;373151680;192;4800
"Process 9";"Process 3";99404;7.57281;7572808000;1e-06;1000;0.677682;677682000;6044.13;6.04413e-06;2.4e+09;2.4;373151680;192;4800
"Process 9";"Process 4";99404;8.41188;8411880000;1e-06;1000;1.07952;1079524000;3794.26;3.79426e-06;2.4e+09;2.4;373151680;192;4800
"Process 9";"Process 5";99404;7.5658;7565800000;1e-06;1000;0.67768;677680000;326.403;3.26403e-07;2.4e+09;2.4;373151680;192;4800
"Process 9";"Process 6";99404;8.6455;8645505000;1e-06;1000;0.677706;677706000;326.405;3.26405e-07;2.4e+09;2.4;373151680;192;4800
"Process 6";"Process 0";99448;16.4202;16420203000;0;0;0.747263;747263000;326.408;3.26408e-07;inf;inf;375750080;192;102400
"Process 6";"Process 10";99404;16.3442;16344231000;1e-06;1000;0.747256;747256000;3714.6;3.7146e-06;2.048e+09;2.048;373151680;192;4800
"Process 6";"Process 11";99404;17.5063;17506288000;1e-06;1000;0.747256;747256000;536.616;5.36616e-07;2.048e+09;2.048;345220736;128;4800
"Process 6";"Process 1";99404;9.60228;9602284000;0;0;0.747261;747261000;525.39;5.2539e-07;inf;inf;373151680;192;4800
"Process 6";"Process 12";99404;19.0439;19043903000;1e-06;1000;0.756247;756247000;536.622;5.36622e-07;2.4e+09;2.4;345220736;128;4800
"Process 6";"Process 13";99404;14.8337;14833687000;1e-06;1000;0.747269;747269000;5481.29;5.48129e-06;2.4e+09;2.4;345220736;128;4800
"Process 6";"Process 14";99404;15.9629;15962920000;1e-06;1000;0.747266;747266000;1548.06;1.54806e-06;2.4e+09;2.4;345220736;128;4800
"Process 6";"Process 15";99404;15.1544;15154398000;1e-06;1000;0.747303;747303000;1135.36;1.13536e-06;2.4e+09;2.4;345220736;128;4800
"Process 6";"Process 9";99404;18.8913;18891300000;1e-06;1000;1.13638;1136377000;536.598;5.36598e-07;2.4e+09;2.4;373151680;192;4800
"Process 6";"Process 7";112364;19.3127;19312654000;1e-06;1000;1.13637;1136375000;3604.44;3.60444e-06;5.12e+09;5.12;1036703680;192;51200
"Process 6";"Process 8";99404;21.559;21558988000;1e-06;1000;1.13639;1136394000;3604.38;3.60438e-06;2.048e+09;2.048;373151680;192;4800
